,knowledge,bison_impacts,Q1_reintroduction,18_24,25_34,35_44,45_54,55_64,65_74,over_75,Q34_Placeofresidence,Q33_Educationlevel,Q29_gender,Q32_Occupation
0,2,32,1,0,0,0,0,1,0,0,3,5,1,27
1,2,27,1,0,1,0,0,0,0,0,2,5,2,8
2,3,32,1,1,0,0,0,0,0,0,4,6,1,8
3,2,30,2,0,0,0,0,0,1,0,3,6,1,7
4,2,33,2,0,0,0,0,1,0,0,2,6,1,7
5,1,34,2,1,0,0,0,0,0,0,1,5,1,2
6,1,37,2,0,1,0,0,0,0,0,1,5,2,2
7,2,35,1,0,0,1,0,0,0,0,3,5,1,8
8,2,33,1,1,0,0,0,0,0,0,1,5,2,23
9,2,26,2,0,1,0,0,0,0,0,2,6,2,8
10,1,44,3,0,0,0,0,0,1,0,3,6,2,8
11,1,33,4,0,0,0,0,1,0,0,1,5,2,16
12,2,34,3,0,0,0,0,1,0,0,4,5,2,8
13,2,35,2,0,0,0,0,1,0,0,2,6,2,8
14,2,35,4,0,0,1,0,0,0,0,5,5,2,9
15,2,34,4,0,0,0,0,1,0,0,5,6,1,8
16,1,29,4,0,0,1,0,0,0,0,4,5,1,8
17,2,29,3,0,0,1,0,0,0,0,4,6,1,8
18,2,25,1,0,1,0,0,0,0,0,3,6,1,8
19,3,35,1,0,0,0,0,1,0,0,4,6,1,27
20,2,31,1,0,1,0,0,0,0,0,1,5,3,2
21,2,34,1,0,0,0,0,1,0,0,4,6,1,12
22,1,28,1,1,0,0,0,0,0,0,1,4,2,14
23,2,19,1,0,1,0,0,0,0,0,2,6,2,16
24,0,38,1,0,0,1,0,0,0,0,1,6,1,8
25,2,26,1,1,0,0,0,0,0,0,1,5,1,27
26,1,26,2,1,0,0,0,0,0,0,2,5,2,8
27,1,26,1,0,1,0,0,0,0,0,1,6,1,8
28,0,34,3,0,0,0,1,0,0,0,5,6,1,9
29,0,34,3,1,0,0,0,0,0,0,3,5,1,12
30,2,35,3,0,0,0,0,1,0,0,3,3,2,27
31,2,36,5,0,0,0,0,1,0,0,2,6,2,8
32,2,20,1,0,0,1,0,0,0,0,1,5,2,8
33,2,30,2,0,0,0,0,0,1,0,2,3,2,27
34,2,33,1,0,0,1,0,0,0,0,3,4,2,25
35,3,34,1,0,0,0,0,0,1,0,3,5,2,17
36,2,31,1,0,0,0,0,0,1,0,1,5,2,27
37,2,24,2,0,0,0,0,1,0,0,5,6,1,8
38,1,31,1,0,0,0,0,1,0,0,3,5,1,16
39,2,26,4,0,0,0,0,1,0,0,2,4,2,8
40,2,29,1,0,1,0,0,0,0,0,1,6,2,8
41,1,28,2,0,0,1,0,0,0,0,4,6,1,2
42,2,33,4,0,0,0,1,0,0,0,5,5,2,9
43,1,29,1,0,0,0,1,0,0,0,1,6,2,13,knowledge,bison_impacts,Q1_reintroduction,18_24,25_34,35_44,45_54,55_64,65_74,over_75,Q34_Placeofresidence,Q33_Educationlevel,Q29_gender,Q32_Occupation
0,6,32,1,0,0,0,0,1,0,0,3,5,1,27
1,6,27,1,0,1,0,0,0,0,0,2,5,2,8
2,7,32,1,1,0,0,0,0,0,0,4,6,1,8
3,6,30,2,0,0,0,0,0,1,0,3,6,1,7
4,6,33,2,0,0,0,0,1,0,0,2,6,1,7
5,1,34,2,1,0,0,0,0,0,0,1,5,1,2
6,5,37,2,0,1,0,0,0,0,0,1,5,2,2
7,6,35,1,0,0,1,0,0,0,0,3,5,1,8
8,6,33,1,1,0,0,0,0,0,0,1,5,2,23
9,6,26,2,0,1,0,0,0,0,0,2,6,2,8
10,4,44,3,0,0,0,0,0,1,0,3,6,2,8
11,5,33,4,0,0,0,0,1,0,0,1,5,2,16
12,6,34,3,0,0,0,0,1,0,0,4,5,2,8
13,4,35,2,0,0,0,0,1,0,0,2,6,2,8
14,6,35,4,0,0,1,0,0,0,0,5,5,2,9
15,6,34,4,0,0,0,0,1,0,0,5,6,1,8
16,5,29,4,0,0,1,0,0,0,0,4,5,1,8
17,6,29,3,0,0,1,0,0,0,0,4,6,1,8
18,6,25,1,0,1,0,0,0,0,0,3,6,1,8
19,7,35,1,0,0,0,0,1,0,0,4,6,1,27
20,6,31,1,0,1,0,0,0,0,0,1,5,3,2
21,5,34,1,0,0,0,0,1,0,0,4,6,1,12
22,5,28,1,1,0,0,0,0,0,0,1,4,2,14
23,6,19,1,0,1,0,0,0,0,0,2,6,2,16
24,2,38,1,0,0,1,0,0,0,0,1,6,1,8
25,6,26,1,1,0,0,0,0,0,0,1,5,1,27
26,5,26,2,1,0,0,0,0,0,0,2,5,2,8
27,5,26,1,0,1,0,0,0,0,0,1,6,1,8
28,4,34,3,0,0,0,1,0,0,0,5,6,1,9
29,3,34,3,1,0,0,0,0,0,0,3,5,1,12
30,6,35,3,0,0,0,0,1,0,0,3,3,2,27
31,5,36,5,0,0,0,0,1,0,0,2,6,2,8
32,5,20,1,0,0,1,0,0,0,0,1,5,2,8
33,5,30,2,0,0,0,0,0,1,0,2,3,2,27
34,6,33,1,0,0,1,0,0,0,0,3,4,2,25
35,5,34,1,0,0,0,0,0,1,0,3,5,2,17
36,5,31,1,0,0,0,0,0,1,0,1,5,2,27
37,6,24,2,0,0,0,0,1,0,0,5,6,1,8
38,4,31,1,0,0,0,0,1,0,0,3,5,1,16
39,6,26,4,0,0,0,0,1,0,0,2,4,2,8
40,5,29,1,0,1,0,0,0,0,0,1,6,2,8
41,3,28,2,0,0,1,0,0,0,0,4,6,1,2
42,6,33,4,0,0,0,1,0,0,0,5,5,2,9
43,3,29,1,0,0,0,1,0,0,0,1,6,2,13
44,5,31,2,1,0,0,0,0,0,0,2,4,2,14
45,5,36,2,0,0,1,0,0,0,0,3,4,2,27
46,5,36,1,0,0,1,0,0,0,0,3,5,2,27
47,6,30,1,1,0,0,0,0,0,0,1,4,2,7
48,6,28,1,0,0,0,0,0,1,0,3,6,2,27
49,6,33,1,1,0,0,0,0,0,0,1,6,1,24
50,3,37,3,0,0,0,1,0,0,0,2,6,5,7
51,5,28,1,0,1,0,0,0,0,0,1,5,1,14
52,6,26,1,0,1,0,0,0,0,0,5,6,2,24
53,6,28,3,0,1,0,0,0,0,0,4,5,1,8
54,5,29,3,1,0,0,0,0,0,0,2,5,1,24
55,4,27,1,1,0,0,0,0,0,0,3,5,1,24
56,6,30,2,0,0,1,0,0,0,0,4,6,2,8
57,5,31,1,0,0,0,1,0,0,0,2,5,2,7
58,4,32,1,0,1,0,0,0,0,0,1,5,2,18
59,4,33,1,0,0,0,0,0,1,0,3,5,1,27
60,6,27,1,0,1,0,0,0,0,0,3,6,1,8
61,5,30,2,0,0,0,0,0,1,0,4,5,1,27
62,6,29,2,1,0,0,0,0,0,0,1,6,1,24
63,6,33,1,0,0,0,0,0,1,0,2,4,2,15
64,4,28,1,0,1,0,0,0,0,0,4,5,1,23
65,3,30,1,0,1,0,0,0,0,0,2,6,2,8
66,5,31,1,0,0,0,0,0,1,0,1,5,2,27
67,6,25,1,0,1,0,0,0,0,0,1,6,2,24
68,4,31,2,1,0,0,0,0,0,0,3,6,1,24
69,4,31,2,0,1,0,0,0,0,0,1,5,1,7
70,0,38,2,0,0,0,0,1,0,0,4,3,2,27
71,5,30,1,1,0,0,0,0,0,0,1,5,3,14
72,6,35,1,1,0,0,0,0,0,0,1,5,2,2
73,5,28,3,1,0,0,0,0,0,0,5,6,1,9
74,6,29,1,1,0,0,0,0,0,0,1,5,2,14
75,5,33,1,1,0,0,0,0,0,0,2,6,1,2
76,5,32,2,1,0,0,0,0,0,0,1,5,1,7
77,6,31,1,1,0,0,0,0,0,0,3,6,1,24
78,6,33,2,1,0,0,0,0,0,0,4,5,1,24
79,4,38,2,1,0,0,0,0,0,0,1,5,2,14
80,5,34,2,1,0,0,0,0,0,0,1,5,1,7
81,3,35,2,1,0,0,0,0,0,0,1,5,1,9
82,1,31,2,1,0,0,0,0,0,0,1,6,1,24
83,4,33,2,1,0,0,0,0,0,0,1,5,1,24
84,4,30,1,1,0,0,0,0,0,0,1,5,2,2
85,6,28,5,0,1,0,0,0,0,0,1,6,1,8
86,3,28,2,1,0,0,0,0,0,0,2,4,2,14
87,6,32,1,1,0,0,0,0,0,0,5,6,2,17
88,4,32,1,1,0,0,0,0,0,0,3,5,1,24
89,5,33,1,0,0,0,1,0,0,0,2,5,1,27
90,4,32,2,0,0,1,0,0,0,0,2,6,1,7
91,0,34,2,1,0,0,0,0,0,0,1,6,1,24
92,3,28,2,1,0,0,0,0,0,0,1,6,2,24
93,4,34,2,1,0,0,0,0,0,0,1,6,1,14
94,6,35,2,0,0,0,0,1,0,0,3,4,2,27
95,6,37,4,0,0,0,0,0,1,0,4,4,1,27
96,4,34,2,0,1,0,0,0,0,0,1,5,1,13
97,4,30,1,1,0,0,0,0,0,0,1,5,2,14
98,0,34,3,1,0,0,0,0,0,0,1,5,2,24
99,2,33,2,1,0,0,0,0,0,0,1,5,2,19
100,6,28,2,0,0,0,0,0,1,0,3,6,2,27
101,3,30,1,1,0,0,0,0,0,0,3,5,1,16
102,5,25,2,1,0,0,0,0,0,0,2,6,1,8
103,4,34,1,1,0,0,0,0,0,0,1,4,2,14
104,4,31,1,0,0,0,1,0,0,0,2,6,2,13
105,3,32,3,1,0,0,0,0,0,0,1,4,2,6
106,4,27,1,1,0,0,0,0,0,0,1,5,2,14
107,5,31,2,0,1,0,0,0,0,0,1,5,1,18
108,3,32,1,1,0,0,0,0,0,0,1,5,2,24
109,5,29,4,1,0,0,0,0,0,0,1,5,2,18
110,1,26,1,1,0,0,0,0,0,0,1,5,2,14
111,3,32,1,0,0,0,0,1,0,0,4,6,2,13
112,4,32,2,1,0,0,0,0,0,0,1,5,1,12
113,3,35,2,0,0,0,0,0,1,0,1,5,2,27
114,2,32,2,1,0,0,0,0,0,0,1,4,1,7
115,4,25,2,1,0,0,0,0,0,0,1,5,1,24
116,6,31,1,0,0,1,0,0,0,0,1,5,3,23
117,6,35,1,1,0,0,0,0,0,0,2,5,2,24
118,4,27,1,0,0,1,0,0,0,0,3,5,2,27
119,5,31,1,0,0,1,0,0,0,0,3,5,2,7
120,6,29,1,1,0,0,0,0,0,0,2,4,2,24
121,5,29,1,0,0,0,0,0,1,0,3,4,2,27
122,5,36,2,0,0,0,0,1,0,0,3,4,1,27
123,1,31,2,0,0,0,0,0,1,0,2,6,2,4
124,5,33,1,0,0,1,0,0,0,0,3,5,1,27
125,4,29,1,0,1,0,0,0,0,0,3,6,3,8
126,6,31,1,0,0,0,0,1,0,0,2,5,2,27
127,5,33,1,0,0,1,0,0,0,0,1,6,2,7
128,6,24,2,0,1,0,0,0,0,0,3,5,2,27
129,4,28,1,0,0,0,1,0,0,0,3,6,2,8
130,6,29,1,0,0,0,0,1,0,0,2,5,2,13
131,5,39,2,1,0,0,0,0,0,0,1,5,2,1
132,3,36,1,0,0,1,0,0,0,0,3,4,1,4
133,5,29,2,0,0,0,0,1,0,0,2,5,1,27
134,6,29,1,0,0,0,0,0,1,0,1,5,1,27
135,6,35,4,0,1,0,0,0,0,0,5,6,1,3
136,5,26,1,0,0,0,0,1,0,0,3,6,2,8
137,5,33,1,0,0,0,0,0,0,1,2,4,2,27
138,6,32,3,0,0,0,0,0,0,1,2,4,2,27
139,5,31,1,0,0,0,0,1,0,0,2,4,2,6
140,5,34,1,0,0,0,0,0,1,0,4,4,1,16
141,5,35,1,0,0,0,0,0,1,0,3,4,1,27
142,6,36,1,0,0,0,0,0,1,0,2,2,2,27
143,4,23,1,0,0,0,0,0,1,0,5,6,2,7
144,5,34,1,0,0,0,0,0,1,0,3,5,2,9
145,7,34,1,0,0,1,0,0,0,0,3,5,1,27
146,5,33,2,0,0,0,1,0,0,0,2,5,5,27
147,3,34,4,0,0,0,0,0,1,0,2,6,1,7
148,3,28,2,1,0,0,0,0,0,0,1,5,1,24
149,4,31,3,0,0,0,0,1,0,0,3,4,1,27
150,5,35,1,0,0,1,0,0,0,0,3,5,2,4
151,1,37,2,0,0,0,0,0,1,0,2,4,1,27
